tweets
"Humans are increasingly relying on decisions made by #AI. However, the ""black box"" problem of the transparency of t… https://t.co/LzJLnz0tpw"
At age five, @TajyMany first began coding. Nearly a decade later, Watson's youngest developer found himself explori… https://t.co/NYo68GrK6K
RT @IBMDataScience: Looking to augment your data science and business teams with the AI productivity and automation features vital for busi…
"RT @Adweek: AI-related technologies contributed $2 trillion to the global economy last year, says @MichelleBB.
But how do we apply it? The…"
"RT @LocalATLast: “We have to trust the systems we build,” @MichelleBB on #AI

Three takeaways from @IBMWatson 

1. Start with the customer…"
We're on YouTube! From Watson developer tutorials, to the latest updates to our technology as well as  case studies… https://t.co/Ftuk4P5S5t
RT @VentureBeat: AI identifies which primates could be carrying the Zika virus https://t.co/0zHG1I2jPU by @Kyle_L_Wiggers
IBM's AI Fairness 360 Open Source Toolkit can help you examine, report, and mitigate discrimination and bias in… https://t.co/V8ayBsmwL1
"Missed the latest @IBMWatson news? Got questions about the future of #AI?

In just two hours, Watson experts are ki… https://t.co/G33FCW6RHy"
The path to breakthroughs in #AI comes from mass experimentation. In this blog, IBM Data and AI GM Rob Thomas break… https://t.co/DhI4OTOJbu
Meet Laura Donaldson, a member of the Watson team whose role involves showcasing how industries are putting #AI to… https://t.co/ZzTAsLjKd3
Using Watson's Natural Language Classifier, Australian insurer @Suncorp lets customers lodge their claim online, re… https://t.co/9soJQRXEE6
"""The evolution of the auto industry is similar in form to the currently nascent world of  #AI. Like the auto indust… https://t.co/AUHk50Waxu"
Lexus wanted an ad that reflected the intuitive and innovative new @Lexus ES. To write the script, their creative a… https://t.co/dLtjTPnGvq
How do you innovate in an industry that is centuries old? See how KPMG is using the power of #AI to digitally trans… https://t.co/PJsEYumkJU
"You can now find the best route to get to any destination with the power of #AI. ""Mobility Advisor"" by… https://t.co/JZGOgq50NN"
Imagine a world where all food is safe to consume, anywhere on the planet. With the help of #AI and #bigdata, resea… https://t.co/bmBfXv1QlP
RT @IBM: IBM's 2018 Annual Report is now available. Read the Chairman's Letter here: https://t.co/Zd59DQjmhh https://t.co/0ytBtzIGiM
@MehtaKrutarth Hey Krutarth, check out this blog for assistance. https://t.co/f1Ag2TXwng
Take a look at the story behind Cora, the Watson-powered digital human by @NatWestBusiness that engages in 100,000… https://t.co/sPdEywXyPO
Generative adversarial networks (GANs) have enabled the #AI industry to take huge leaps toward creativity, generati… https://t.co/8U7n54nVcr
At #Think2019, we invited attendees to immerse themselves in a video experience to learn how Watson works. Catch a… https://t.co/hUaqlyPeKH
The Swift SDK for #IBMWatson provides an easy, intuitive way to integrate Watson’s #AI platform into your iOS apps… https://t.co/QFpsMnQEoJ
RT @IBMResearch: IBM researchers, along with @UniofOxford and @MIT, put machine learning on the path to Quantum Advantage https://t.co/aUs5…
"""The gap between businesses that believe adopting AI is crucial and those that actually integrate it into their str… https://t.co/8WytJ0LLCU"
There is an increased urgency for companies to maintain trust and transparency when handling user data. @IBM is pro… https://t.co/AOV5cys1Mw
5 reasons why people are pursuing nanodegrees to prepare for roles in an #AI-driven world: https://t.co/MGyI83HGS0
RT @IBMWatson: IBM's Everyday Ethics for #AI provides an actionable guide for designers and developers to get intentional about ethics: htt…
"By combining emotional intelligence with the power of Watson Assistant, @Soulmachines created ""digital humans"" that… https://t.co/NdO8gBqe1p"
"""If we can identify and remove bias against people with disabilities from our technologies, we will be taking an im… https://t.co/e539cUf0SZ"
Stay strong Alex, we're all behind you. https://t.co/xkJRCjCdY5
"RT @IBMWatson: Introducing “AI Explained"" – your new podcast on all things business and #AI. Tune into the very first episode, available to…"
#ICYMI: IBM was named #1 in #AI Software Platforms by @IDC's Worldwide Cognitive/AI Software Platforms Market Share… https://t.co/31tFR5Hrha
RT @IBM: Beauty is in the 👁️, and ours wouldn't be perfect without π. Happy #PiDay from all of us at 👁️🐝Ⓜ️. https://t.co/NPQlcG7S0S
RT @IBMcloud: New study finds most enterprises are only 20 percent of the way into their #cloud journeys. Here's why: https://t.co/VuquLxzz…
From creating artificial intelligence that could debate humans on complex topics to uniting developers to use their… https://t.co/j0T9lVmxpF
A new generation of consumers expect 24/7 customer service. Over on the Watson blog, we discuss how companies are u… https://t.co/C5Um6VtE8U
"""The center will attract new companies in the #AI field and federal research and create several hundred new jobs.""… https://t.co/gtdN9n2We8"
ICYMI: We recently announced that Watson capabilities are now available anywhere – on any cloud, be it private, pub… https://t.co/OkzbjTMxEo
You have questions about the future of Watson, and we have answers. Recap our biggest announcements from #Think2019… https://t.co/8FOgoj0JqW
*NEW* on the @IBMWatson YouTube channel: you can now connect Watson Assistant to your Intercom workspace. Learn fro… https://t.co/9FazEKvT0K
Introducing smart document understanding with Watson Discovery. This powerful new feature allows you to visually tr… https://t.co/nNDCGtRWdt
@mikejvoorhees See you there, Mike.
RT @IBMcloud: Four months after our announcement to acquire @RedHat, IBM’s Jim Comfort sits down with @Forbes to share updated views on #mu…
In an interview with @SPGMarketIntel, Ruchir Puri, Chief Scientist at @IBMResearch discusses the three core aspects… https://t.co/hxUmsr9Cbr
"The proliferation of convenient ""omnichannel"" customer service solutions has created a new set of problems in the… https://t.co/Uh2ownq7KJ"
RT @IBMthinkLeaders: Last up from #Think2019! We sat down with @WHoltzman, CEO, Social Victories and discussed engagement and tech in the s…
Infusing #AI into your organization's daily operations enables increased productivity and reduced costs –  all whil… https://t.co/O8VHufTIVw
Optimizing algorithms at the core of AI is easier than ever, but modern computers can't keep up – so @IBM researche… https://t.co/QnMzW9FC9F
"""This drive to adopt #AI is fueled by the benefits it brings to our everyday lives – from getting us help faster, t… https://t.co/lmOrC7oK1P"
"You've successfully built a virtual agent for your business. What are some ways to create a ""stand-out"" experience… https://t.co/E11XnPZXYJ"
Looking for new sources of inspiration on your feed? Look no further than this list of 100 brilliant women in #AI e… https://t.co/f3Y0GFJFbQ
Watson Personality Insights enables insight into how and why people think, act, and feel the way they do. Try it fr… https://t.co/a5k7DMuVgl
How @KPMG is bringing the power of #AI to key service areas to lead the way in the digital transformation of the ta… https://t.co/oFQDow3SaI
From financial risk to service solutions, enterprises around the globe are using Watson Natural Language Classifier… https://t.co/CLxSA2iGED
IBM's AI Fairness 360 Open Source Toolkit can help you examine, report, and mitigate discrimination and bias in… https://t.co/tIbMdv8O6v
After successfully launching their first AI-powered #chatbot, software company @Autodesk is now using IBM Watson to… https://t.co/r3LjpGYB77
RT @IBMWatson: At #Think2019, we shared the latest news from Watson, including #WatsonAnywhere capabilities and client journeys with AI. On…
At Watson, we're inspired by the driving force behind all the women on our team doing their part in creating powerf… https://t.co/HndCCgfnWO
At #Think2019, we shared the latest news from Watson, including #WatsonAnywhere capabilities and client journeys wi… https://t.co/EAX2lVJgVB
RT @IBM: This International Women's Day, we pledge to #BeEqual and elevate women in the workforce, because achieving gender equality will r…
Humans are living at a point in time in which #AI is being used in normal, everyday interactions – that's why the m… https://t.co/fDUDkJuTFR
@Jeopardy We're rooting for you, Alex.
RT @IBM: Inside the labs of #IBMResearch, we invent things that matter to the world. Learn how we're advancing some of the most promising a…
RT @IBMIBV: Despite widely publicized advocacy for #genderequality in leadership, most organizations are not yet close to achieving it. We’…
"""Yesterday we pioneered for today; today, we are pioneering for tomorrow."" – Thomas J. Watson, Sr. #WednesdayWisdom"
As a long-time IBM Watson collaborator and an expert with decades of #customerservice experience, @PeterLavers shar… https://t.co/Q5o29rvd8N
Watson Discovery's smart document understanding finds answers in your data with less effort. Read more about this p… https://t.co/Cg6A4QKNEG
TODAY: In just two hours, we're kicking off a webinar to guide you towards learning how to trust your AI models wit… https://t.co/wVnxrHg7ev
#TBT: Last summer, @IBM helped send its first #AI-powered assistant to space. Watch the mission through the eyes of… https://t.co/1cCWmYyNeq
*NEW* on the @IBMWatson YouTube channel: learn how you can connect Watson Assistant to your Intercom workspace. Wat… https://t.co/5Ajcs8ySr9
By 2020, the amount of enterprise data will increase by 800%. Deploying #AI now can help turn that information over… https://t.co/V0KbxtcBGf
"How do we define ""bias?"" In turn, how does IBM Watson OpenScale detect bias in runtime? Learn more in our latest Me… https://t.co/pMVoC433TH"
RT @IBMWatson: Your data belongs to you. When information is gathered and stored by an IBM application, you maintain data ownership and con…
Watson Discovery's smart document understanding finds answers in your data with less effort. Read more about this p… https://t.co/6cjp3VqMRE
"RT @IBM: You see a perfect shot. We see data. 

Watson analyzes thousands of video clips at @TheMasters and creates custom highlight reels:…"
What is the role of #AI in business? @IBMWatson General Manager Beth Smith discusses the need for transparent and e… https://t.co/dNvdjQZOKo
RT @VentureBeat: New IBM technique cuts AI speech recognition training time from a week to 11 hours https://t.co/xzs1zug4YQ by @Kyle_L_Wigg…
To overcome the limits of Generative Adversarial Networks (GANs), a type of #deeplearning used in creative #AI, res… https://t.co/UxN6COhS4h
RT @IBM: Since 1963, the title 'IBM Fellow' has been IBM's pre-eminent technical distinction. Meet the 2019 class: https://t.co/jF55JRfsCY…
#AI is experiencing an unprecedented growth in the last decade. Because we are heavily relying on decisions made by… https://t.co/fkQBqSDFSe
RT @IBMWatson: Infusing #AI into your organization's daily operations enables increased productivity and reduced costs –  all while enhanci…
Last year we released IBM's Everyday Ethics for #AI, providing an actionable guide for designers and developers to… https://t.co/pRhxdIeQVg
RT @IBMResearch: Two rival #AI approaches combine to let machines learn about the world like a child https://t.co/0FX0OL8rGw
Despite growing sophistication of new technology, most are functional only when linked to the cloud. To unload the… https://t.co/X85CF46R9E
To combat bullying, WatsomApp teamed up with @IBM to create an #AI solution that helps educators proactively identi… https://t.co/ScF4LJWOSN
"IBM is proud to be named by @FastCompany as ""The World Changing Company of the Year,"" with initiatives like Call fo… https://t.co/dJsph0CXbJ"
#ICYMI ► For #WomensHistoryMonth, we launched a blog series highlighting the driving force behind women on our team… https://t.co/Sw5OdLIqEi
RT @IBMpolicy: Today @IBM endorses the new EU Ethics Guidelines for Trustworthy AI. These guidelines set a global standard  for #AI that is…
@SylvainJunca Let us know if you have any questions, Sylvain!
Dive into the latest #AI trends such as bias and transparency, and learn about Watson's availability on any cloud,… https://t.co/15S9bME6jH
Organizations can quickly filter massive amounts of unstructured data to find insights using Watson Discovery servi… https://t.co/CpfLFhQWct
*NEW* on the @IBMWatson YouTube channel: We've updated the Watson Assistant playlist with our Search Skill video. ►… https://t.co/41vTq9waeK
RT @IBMDeveloper: Nearly 160 million people will be affected by natural disasters this year. On #WorldHealthDay, join #CallforCode in build…
"""The center will attract new companies in the #AI field and federal research and create several hundred new jobs.""… https://t.co/4GKVdPMYjL"
Imagine a world where all food is safe to consume, anywhere on the planet. With the help of #AI and #bigdata, resea… https://t.co/raqKHPbr9s
#ICYMI: There is an increased urgency for companies to maintain trust and transparency when handling user data.… https://t.co/fIGtAdIlk5
There are no hard and fast rules that determine how “human” a chatbot should be. How can companies determine how be… https://t.co/4qhQPsW63T
IBM Watson is #AI that transforms your business by helping you find transparent, explainable results that you can t… https://t.co/bMuXktryif
RT @IBM: Congratulations to our CEO Ginni Rometty, recipient of the 2019 Edison Achievement Award for her accomplishments in leadership, in…
As IBM Watson technology continues to advance, we're implementing #AI training for employees to progress their skil… https://t.co/2BcWOmh7sh
RT @IBMWatson: Is #AI magic? According to IBM Data and AI GM Rob Thomas, finding the best possible outcomes from AI comes by way of mass ex…
RT @IBM: Last year, 100,000 developers from 156 nations applied technologies like AI, blockchain and IoT to help address the world's most p…
"By combining emotional intelligence with the power of Watson Assistant, @Soulmachines created ""digital humans"" to e… https://t.co/PD6vk4EzQs"
So you've learned about core conversational #AI concepts. How can your team then proceed to design an effective sol… https://t.co/0cFzKJVZKm
Want to learn about how IBM Watson OpenScale works for your business? Watch this demo of our features for #AI to ex… https://t.co/udwUCLw6Aa
The most spoken about trend in the #AI world? Bias in technology. According to Ruchir Puri, Chief Scientist at… https://t.co/57DTmoGKGF
RT @IBMResearch: Text-based #AI models are vulnerable to paraphrasing attacks https://t.co/5eJuoN5ie3
"""I expect #AI to change 100 percent of jobs within the next five to 10 years."" – @IBM CEO Ginni Rometty via @CNBC. https://t.co/S5icGyAcs8"
To help people navigate crowded areas in congested cities, #Volkswagen is creating an app called Mobility Adviser t… https://t.co/sZdjZ6OV5H
#ICYMI: Watson Discovery's smart document understanding finds answers in your data with less effort. Read more abou… https://t.co/pMG6iDZDY8
AI services-related revenue should reach almost $150 billion by 2025. What industries will be impacted? Read our bl… https://t.co/XDI5JJTrzL
"RT @cnbcevents: ""HR should be the role model,"" @IBM's Ginni Rometty shares at #CNBCatWork. HR can set the stage for ""changing the way work…"
RT @IBM: This #WorldAutismAwarenessDay, and every day, we celebrate IBMers with Autism Spectrum Disorder who are showing us the incredible…
#AI today has an incredible opportunity to turn that raw unstructured data into actionable insights. Learn how Wats… https://t.co/Jv2TPFqVSq
With the help of Watson Visual Recognition and Watson Studio, field technicians can now leverage the power of Apple… https://t.co/oHeJ8lxl1t
In the time since the MIT-IBM Watson AI lab launched in fall of 2017, it has received 186 proposals from 23 departm… https://t.co/TwF9UVodYl
Lakisha Hall has come a long way in her IBM journey, from starting out as a software developer over twenty years ag… https://t.co/wn7PuFjsaw
RT @IBM: The @IBMResearch AI Hardware Center is focused on the development of next generation chips and systems specifically designed for #…
@chrispawilliams @IBMcloud Congratulations on the milestone! We're lucky to have you, Chris.
"Morning podcast alert ► We recently introduced “AI Explained"" – your go-to on all things business and #AI. Tune int… https://t.co/5M2ffK4wFv"
From creating artificial intelligence that could debate humans on complex topics to uniting developers worldwide to… https://t.co/4IqzEJUf1C
RT @IBMWatson: IBM's AI Fairness 360 Open Source Toolkit can help you examine, report, and mitigate discrimination and bias in #machinelear…
Infusing #AI into your organization's daily operations enables increased productivity and reduced costs –  all whil… https://t.co/5lZFpX7oLC
*NEW* on the @IBMWatson YouTube channel: We've updated the Watson Assistant playlist with our Search Skill video. C… https://t.co/PpjAOiXfFn
RT @IBM: From solar storms and extreme weather predictions ⚡️, to more accurate daily forecasting, #AI solutions are real, and they're here…
3 ways to prepare your organizations for an increasingly AI-driven world: https://t.co/qkqp08nefE
"""Over time, #machinelearning algorithms learn what is most effective, and they learn what is the most impactful. An… https://t.co/eiRgNWuXYo"
"""Don't fear superintelligent #AI."" In this Ted Talk by @IBM's Grady Booch, he taps into the fears many people have… https://t.co/q69AZbOP4u"
What are the top 10 strategic technology trends in 2019? According to @Gartner_inc, the list includes automation an… https://t.co/WUpGEf5XNF
RT @IBMthinkLeaders: To inbox zero or not to inbox zero? On this week’s thinkPod, we talk about email philosophy, hiring algorithms and the…
Is #AI magic? According to IBM Data and AI GM Rob Thomas, finding the best possible outcomes from AI comes by way o… https://t.co/OMrvCKDdNB
Meet @MichelleBB – she's the CMO of @IBMWatson, a mother of two and the daughter of a pioneer in technology. Get to… https://t.co/xZRMIlzwmc
Using Watson technology, @RBS built Cora – an #AI-powered digital assistant that analyzes every conversation, incor… https://t.co/Jh6ZNImL32
In the IBM Watson @unity3d SDK, you have the ability to run our Speech to Text service. Watch the example video her… https://t.co/wi1hH3b1uW
How is @IBM helping to advance #AI in 2019? Watch below to find out. ▼ https://t.co/bUoklibCp8
RT @IBMDeveloper: Six months ago, Project OWL 🦉won the 2018 #CallforCode grand prize of US $200K 💸 with plans to bring their solution to co…
#AI is helping IBM progress from the inside out, changing how brands interact with their customers. Watch now via… https://t.co/T834uDsN4Q
In a recent interview, IBM Watson General Manager Beth Smith discussed the role of #AI in business, including the n… https://t.co/kgupWOT7V7
#AI, ads and airlines? How @lufthansa created interactive, AI-powered ads using Watson Natural Language Understandi… https://t.co/8WgM0vI99K
"RT @IBM: Liza from @IBMIoT and Tania from @IBMWatson are pledging to #BeEqual and help elevate women in the workplace.

Join them and take…"
"""If we can identify and remove bias against people with disabilities from our technologies, we will be taking an im… https://t.co/VMG5tmKM8v"
#ICYMI: IBM is partnering with @VMware to enhance their customer service experience with Watson and… https://t.co/xCCNCBB5NI
By 2020, the amount of enterprise data will increase by 800%. Deploying #AI now can help turn that information over… https://t.co/fwSGUtIt6Y
TOMORROW – join us for a FREE event in NYC at 6PM to talk all things AI, and popular trends around the technology.… https://t.co/WifP4Fry0y
Are we able to create emotional connections with a #chatbot the way we do with humans? .@Soulmachines has embarked… https://t.co/9ym1sIDnId
RT @IBMDeveloper: YOUR ideas can create a difference. Last year, developers from 156 nations participated in #CallforCode, creating #openso…
"@itewes Hi Ian, thanks for the feedback. ""Ask Mercedes"" was designed to use Watson conversational AI technology to… https://t.co/S7fBqkDHB7"
"""The gap between businesses that believe adopting AI is crucial and those that actually integrate it into their str… https://t.co/5aAyui6O0O"
"Got a new Mercedes, but not sure how to turn the rear defroster on? Try ""Ask Mercedes,"" the #chatbot powered by Wat… https://t.co/JVziWj7dGN"
"RT @IBMWatson: ""The center will attract new companies in the #AI field and federal research and create several hundred new jobs."" – via @bu…"
"""Today, AVA talks to over a hundred thousand customers a month. She’s got an 88% customer satisfaction rate, and he… https://t.co/7TqstuiR3z"
RT @IBMResearch: #AI-generated text is supercharging fake news. This is how we fight back https://t.co/Mb15qp8pEQ via @DigitalTrends #IBMRe…
We recently introduced smart document understanding with Watson Discovery. This powerful new feature allows you to… https://t.co/Zla9eWPkpD
Your data belongs to you. When information is gathered and stored by an IBM application, you maintain data ownershi… https://t.co/F3EoO7yLd4
See how @IBM research fellow @datapriestess outlines the approach technology providers must take to build trustwort… https://t.co/Zs3ovJA04y
How does #AI continue its process of learning with each information input? Watch the video below on transfer learni… https://t.co/CETaLCl1hD
One barrier enterprises face when developing #chatbots is juggling multilingual capabilities for industry jargon. I… https://t.co/eIz2jQUY1K
We've come a long way in learning just how #AI is impacting nearly every industry out there – that's why 2019 is th… https://t.co/Q72IC1K7sr
To help people in congested cities find the fastest route to their destination, #Volkswagen created Mobility Advise… https://t.co/FiX3urZhvL
"""If we accept that AI is going to be a relevant part of our future, it is important to establish the foundations of… https://t.co/iLzWKX65K1"
"In NYC next week? Want to learn how #AI will change the world?

Bring your best AI questions and join us for a nigh… https://t.co/ldkdAplq77"
RT @Adweek: The very real relationship between IBM's AI computer and Alex Trebek: https://t.co/1LmEOE8sHx https://t.co/HamMroJRgd
"For your commute this morning: in this episode of ""AI Explained,"" discover why finding the right talent for your te… https://t.co/fSbVPd3KR8"
"Humans are increasingly relying on decisions made by #AI. However, the ""black box"" problem of the transparency of t… https://t.co/LzJLnz0tpw"
At age five, @TajyMany first began coding. Nearly a decade later, Watson's youngest developer found himself explori… https://t.co/NYo68GrK6K
RT @IBMDataScience: Looking to augment your data science and business teams with the AI productivity and automation features vital for busi…
"RT @Adweek: AI-related technologies contributed $2 trillion to the global economy last year, says @MichelleBB.
But how do we apply it? The…"
"RT @LocalATLast: “We have to trust the systems we build,” @MichelleBB on #AI

Three takeaways from @IBMWatson 

1. Start with the customer…"
We're on YouTube! From Watson developer tutorials, to the latest updates to our technology as well as  case studies… https://t.co/Ftuk4P5S5t
RT @VentureBeat: AI identifies which primates could be carrying the Zika virus https://t.co/0zHG1I2jPU by @Kyle_L_Wiggers
